period	ads_b	influencers_b
1	531000	93000
2	399000	0
3	282000	0
4	256000	15000
5	297000	0
6	193000	0
7	195000	76000
8	120000	0
9	72000	0
10	157000	19000
11	110000	0
12	203000	0
13	36000	111000
14	54000	78000
15	22000	0
16	60000	158000
17	26000	0
18	0	0
19	64000	0
20	24000	0
21	40000	0
22	30000	0
23	164000	0
24	0	0
25	0	0
26	0	0
27	15000	0
28	0	0
29	17000	0
30	82000	10000
31	84000	0
32	46000	46000
33	0	0
34	0	0
35	0	0
36	0	0
37	95000	0
38	0	0
39	82000	0
40	54000	0
41	0	0
42	63000	0
43	0	0
44	26000	0
45	42000	0
46	48000	0
47	0	7000
48	0	0
49	0	0
50	0	0
