Region,Hazard,Vulnerability,Lack of Coping
Autonomous Region of Muslim Mindanao (ARMM),5,3,6
Bicol Region (Region V),3,5,8
CALABARZON (Region IV-A),10,9,6
Cagayan Valley (Region II),10,3,3
Caraga (Region XIII),5,5,0
Central Luzon (Region III),6,9,7
Central Visayas (Region VII),1,8,4
Cordillera Administrative Region (CAR),3,0,4
Davao Region (Region XI),9,4,1
Eastern Visayas (Region VIII),10,1,1
Ilocos Region (Region I),3,8,6
MIMAROPA (Region IV-B),2,10,4
Metropolitan Manila,9,1,3
Northern Mindanao (Region X),0,4,7
SOCCSKSARGEN (Region XII),9,9,0
Western Visayas (Region VI),5,4,3
Zamboanga Peninsula (Region IX),9,9,3
