period	ads_b	influencers_b
1	" 531,000.00 "	" 93,000.00 "
2	" 399,000.00 "	 -   
3	" 282,000.00 "	 -   
4	" 256,000.00 "	" 15,000.00 "
5	" 297,000.00 "	 -   
6	" 193,000.00 "	 -   
7	" 195,000.00 "	" 76,000.00 "
8	" 120,000.00 "	 -   
9	" 72,000.00 "	 -   
10	" 157,000.00 "	" 19,000.00 "
11	" 110,000.00 "	 -   
12	" 203,000.00 "	 -   
13	" 36,000.00 "	" 111,000.00 "
14	" 54,000.00 "	" 78,000.00 "
15	" 22,000.00 "	 -   
16	" 60,000.00 "	" 158,000.00 "
17	" 26,000.00 "	 -   
18	 -   	 -   
19	" 64,000.00 "	 -   
20	" 24,000.00 "	 -   
21	" 40,000.00 "	 -   
22	" 30,000.00 "	 -   
23	" 164,000.00 "	 -   
24	 -   	 -   
25	 -   	 -   
26	 -   	 -   
27	" 15,000.00 "	 -   
28	 -   	 -   
29	" 17,000.00 "	 -   
30	" 82,000.00 "	" 10,000.00 "
31	" 84,000.00 "	 -   
32	" 46,000.00 "	" 46,000.00 "
33	 -   	 -   
34	 -   	 -   
35	 -   	 -   
36	 -   	 -   
37	" 95,000.00 "	 -   
38	 -   	 -   
39	" 82,000.00 "	 -   
40	" 54,000.00 "	 -   
41	 -   	 -   
42	" 63,000.00 "	 -   
43	 -   	 -   
44	" 26,000.00 "	 -   
45	" 42,000.00 "	 -   
46	" 48,000.00 "	 -   
47	 -   	" 7,000.00 "
48	 -   	 -   
49	 -   	 -   
50	 -   	 -   
