period	sales_a	sales_b
1	45.45454545	679548.4081
2	51919.22867	620905.1377
3	158308.4948	527152.7442
4	206347.6935	401672.0257
5	281893.0041	340984.8839
6	331328.1874	283159.3282
7	376942.4965	243670.8861
8	378894.9017	202938.9714
9	434965.8314	200334.2957
10	425606.9364	172570.3906
11	404534.8837	147985.5138
12	455940.5941	150897.9348
13	432531.9086	132211.9678
14	467367.4859	134164.8746
15	468017.7327	119590.3058
16	430784.5084	101639.58
17	468070.0573	102920.544
18	470783.848	96750.64415
19	466666.6667	90909.09091
20	462228.9973	85247.76374
21	471669.4772	82831.41008
22	442158.516	75310.91012
23	436342.2028	70489.97773
24	464966.2162	72184.62371
25	423801.3699	63365.13909
26	473509.0153	68699.51535
27	447326.1098	60219.5717
28	424519.7345	54561.26271
29	463757.917	57489.26497
30	450906.4003	53244.29885
31	440317.8586	49630.29067
32	465010.5263	51064.10093
33	463030.303	49213.45441
34	446573.7052	46732.64814
35	424450.6592	43515.44549
36	445609.1772	44245.6541
37	430553.3905	41814.7448
38	452777.7778	42617.81367
39	413521.0151	36974.49221
40	402358.1135	34116.67454
41	462519.8098	38067.24665
42	436985.7595	34411.2478
43	420064.0769	32359.44593
44	437086.36	32779.99115
45	441267.9426	32139.76633
46	430973.7974	30470.10399
47	409751.2831	27896.44013
48	407815.6313	27059.96549
49	411943.3198	26948.05195
50	431752.988	27635.90124
