period	price_a	price_b
1	 44.00 	 61.56 
2	 54.97 	 62.09 
3	 53.68 	 62.13 
4	 52.46 	 62.20 
5	 43.74 	 64.17 
6	 37.57 	 66.09 
7	 35.65 	 66.36 
8	 35.11 	 66.69 
9	 35.12 	 65.81 
10	 34.60 	 66.06 
11	 34.40 	 66.27 
12	 34.34 	 66.82 
13	 33.69 	 67.18 
14	 33.77 	 69.75 
15	 31.58 	 69.32 
16	 30.21 	 69.53 
17	 29.69 	 69.85 
18	 29.47 	 69.86 
19	 29.31 	 70.18 
20	 29.52 	 70.43 
21	 29.65 	 71.06 
22	 29.65 	 70.76 
23	 29.69 	 71.84 
24	 29.60 	 73.88 
25	 29.20 	 74.41 
26	 28.84 	 74.28 
27	 28.61 	 73.78 
28	 28.63 	 74.76 
29	 28.42 	 79.18 
30	 27.03 	 79.37 
31	 23.91 	 78.44 
32	 23.75 	 78.47 
33	 24.75 	 78.19 
34	 25.10 	 78.81 
35	 25.03 	 78.34 
36	 25.28 	 78.81 
37	 25.66 	 79.35 
38	 25.56 	 82.97 
39	 25.22 	 84.68 
40	 25.02 	 84.68 
41	 25.24 	 85.06 
42	 25.28 	 85.35 
43	 24.97 	 85.91 
44	 24.78 	 90.36 
45	 25.08 	 92.44 
46	 25.57 	 92.32 
47	 25.33 	 92.70 
48	 24.95 	 92.72 
49	 24.70 	 92.40 
50	 25.10 	 94.37 
