RegionRes,AgeGroup,CaseCode
1,20 to 24,2
1,25 to 29,4
1,30 to 34,7
1,35 to 39,4
1,40 to 44,7
1,45 to 49,3
1,5 to 9,1
1,50 to 54,6
1,55 to 59,6
1,60 to 64,2
1,65 to 69,9
1,70 to 74,8
1,75 to 79,3
10,15 to 19,1
10,20 to 24,1
10,25 to 29,1
10,30 to 34,1
10,40 to 44,1
10,45 to 49,3
10,50 to 54,2
10,65 to 69,4
10,70 to 74,1
11,0 to 4,3
11,10 to 14,1
11,15 to 19,3
11,20 to 24,7
11,25 to 29,17
11,30 to 34,14
11,35 to 39,9
11,40 to 44,16
11,45 to 49,20
11,5 to 9,1
11,50 to 54,14
11,55 to 59,11
11,60 to 64,11
11,65 to 69,6
11,70 to 74,6
11,75 to 79,3
11,80+,1
12,20 to 24,1
12,25 to 29,1
12,30 to 34,2
12,35 to 39,1
12,45 to 49,4
12,50 to 54,2
12,55 to 59,4
12,65 to 69,1
12,80+,1
2,20 to 24,2
2,25 to 29,8
2,30 to 34,5
2,35 to 39,4
2,40 to 44,2
2,45 to 49,1
2,5 to 9,1
2,50 to 54,3
2,55 to 59,2
2,60 to 64,1
2,65 to 69,1
2,70 to 74,4
3,0 to 4,4
3,10 to 14,2
3,15 to 19,5
3,20 to 24,20
3,25 to 29,44
3,30 to 34,50
3,35 to 39,32
3,40 to 44,34
3,45 to 49,27
3,5 to 9,2
3,50 to 54,28
3,55 to 59,37
3,60 to 64,30
3,65 to 69,26
3,70 to 74,21
3,75 to 79,11
3,80+,8
4A,0 to 4,14
4A,10 to 14,8
4A,15 to 19,16
4A,20 to 24,70
4A,25 to 29,167
4A,30 to 34,146
4A,35 to 39,117
4A,40 to 44,101
4A,45 to 49,110
4A,5 to 9,11
4A,50 to 54,93
4A,55 to 59,96
4A,60 to 64,94
4A,65 to 69,67
4A,70 to 74,58
4A,75 to 79,24
4A,80+,28
4B,0 to 4,4
4B,20 to 24,2
4B,25 to 29,2
4B,30 to 34,1
4B,35 to 39,3
4B,40 to 44,3
4B,5 to 9,1
4B,50 to 54,1
4B,60 to 64,2
4B,65 to 69,1
4B,80+,4
5,0 to 4,1
5,15 to 19,2
5,20 to 24,1
5,25 to 29,4
5,30 to 34,7
5,35 to 39,4
5,40 to 44,6
5,45 to 49,3
5,50 to 54,6
5,55 to 59,5
5,60 to 64,9
5,65 to 69,4
5,70 to 74,1
5,75 to 79,1
6,20 to 24,3
6,25 to 29,14
6,30 to 34,10
6,35 to 39,3
6,40 to 44,10
6,45 to 49,6
6,50 to 54,6
6,55 to 59,7
6,60 to 64,4
6,65 to 69,8
6,70 to 74,4
6,75 to 79,2
6,80+,2
7,0 to 4,17
7,10 to 14,33
7,15 to 19,50
7,20 to 24,88
7,25 to 29,149
7,30 to 34,143
7,35 to 39,133
7,40 to 44,93
7,45 to 49,98
7,5 to 9,25
7,50 to 54,65
7,55 to 59,69
7,60 to 64,49
7,65 to 69,31
7,70 to 74,19
7,75 to 79,12
7,80+,5
8,20 to 24,1
8,25 to 29,3
8,30 to 34,2
8,45 to 49,1
8,50 to 54,2
8,55 to 59,2
8,60 to 64,2
8,70 to 74,1
9,20 to 24,2
9,25 to 29,8
9,30 to 34,8
9,35 to 39,9
9,40 to 44,3
9,45 to 49,8
9,5 to 9,1
9,50 to 54,3
9,55 to 59,2
9,60 to 64,1
9,75 to 79,1
9,80+,3
BARMM,25 to 29,1
BARMM,30 to 34,1
BARMM,50 to 54,1
BARMM,55 to 59,2
BARMM,60 to 64,4
BARMM,65 to 69,2
CAR,0 to 4,1
CAR,20 to 24,4
CAR,25 to 29,3
CAR,30 to 34,7
CAR,35 to 39,1
CAR,40 to 44,2
CAR,45 to 49,5
CAR,5 to 9,1
CAR,50 to 54,4
CAR,55 to 59,2
CAR,60 to 64,4
CAR,65 to 69,3
CAR,70 to 74,3
CAR,75 to 79,2
CARAGA,10 to 14,1
CARAGA,65 to 69,2
NCR,0 to 4,49
NCR,10 to 14,35
NCR,15 to 19,88
NCR,20 to 24,376
NCR,25 to 29,642
NCR,30 to 34,728
NCR,35 to 39,483
NCR,40 to 44,455
NCR,45 to 49,516
NCR,5 to 9,27
NCR,50 to 54,549
NCR,55 to 59,544
NCR,60 to 64,562
NCR,65 to 69,456
NCR,70 to 74,337
NCR,75 to 79,183
NCR,80+,201
